Timestamp,"1. Do you have a social media account? (e.g., Facebook, Twitter, etc.)",2. Which social media account do you use usually?,3. Which device do you usually use to connect social media?,4. Which type of internet connection do you use?,5. How long have you been using a social media account?,6. How frequently do you post (upload status or add photos/videos) on social media? ,7. How much time do you spend daily in social media?,8. When do you usually use social media?,9. How many friends do you have on social media?,10. How many friends do you know personally in social media? ,11. How many groups you are tagged in social media?,12. What is your main purpose for using social media (e.g. Facebook)?,13. What contents do you mainly look for in your social media news feed?,14.Do you believe social media is a good thing?,"15. When you see something in social media, do you instantly believe it?",16. Have you ever experienced peer pressure due to social media?,"17. Does your emotion get influenced by other's posts (success, failure, loss)? ",18. Have you ever compared yourself with other’s success or luxurious life?,"19. Do you think, your mental wellbeing would be better if you do not use social media?","20. If answer is yes, are you trying to control that thing and trying to reduce the use of social media?",21. Please write your age in years (number).,22. Gender,23. Marital Status,24. Religion,25. Education,26. Profession,27. Monthly income,28. Area of residence,29. Living with-,30. Body weight (Kg),31. Height (m),32. Smoking habit,"1. In the past 30 days, do you feel lack of companionship?","2. In the past 30 days, there is no one I can turn to","3. In the past 30 days, I feel left out.","4. In the last 30 days, I feel isolated from others.","5. In the last 30 days, I am unhappy being so withdrawn.","6. In the last 30 days, people are around me but not with me.","7. In the last 30 days, I am an outgoing person.","8. In the last 30 days, I can find companionship when I want it.","1 In the last 30 days, little interest or pleasure in doing things.","2. In the last 30 days, feeling down, depressed or hopeless.","3. In the last 30 days, trouble falling or staying asleep, sleeping too much","4. In the last 30 days, Feeling tired or having little energy.","5. In the last 30 days, poor appetite or over-eating.","6. In the last 30 days, feeling bad about yourself-or that you are a failure or have let yourself or your family down.","7. In the last 30 days, trouble concentrating on things, such as reading the newspaper or watching television.","8. In the last 30 days, moving or speaking so slowly or the opposite-moving around a lot more than usual.","9. In the last 30 days, thoughts that you would be better off dead, or of hurting yourself.","1. In the last 30 days, I am feeling nervous, anxious, or on edge","2. In the last 30 days, I an not being able to stop or control worrying","3. In the last 30 days, I am worrying too much about different things.","4. In the last 30 days, I felt trouble in relaxing.","5. In the last 30 days, I am being so restless that it's hard to sit still","6. In the last 30 days, I becoming easily annoyed or irritable.","7. In the last 30 days, I am feeling afraid as if something awful might happen.",1. When I am usually gone to bed?,2. How long (in minutes) has it taken you to fall asleep each night?,3. When have you usually gotten up in the morning?,4. How many hours of actual sleep do you get at night?,5.  How many hours were you in bed?,"6. In last 30 days, How many times, I cannot get to sleep within 30 minutes?","7. In last 30 days, How many times, I wake up in the middle of the night or early morning?","8. In last 30 days, How many times, I had to get up to use the bathroom?","9. In last 30 days, How many times, I cannot breathe comfortably?","10. In last 30 days, How many times, I cough or snore loudly?","11. In last 30 days, How many times, I feel too cold?","12. In last 30 days, How many times, I feel too hot?","13. In last 30 days, How many times, I saw bad dreams?","14. In last 30 days, How many times, I have pain during sleep?","15. In last 30 days, How many times, I having trouble sleeping for any other reason?","16. In last 30 days, In last month, have you take medicines for sleep?","17. In last month, how many times you cannot sleep due to any program or other important case?","18. In last month, how many times you face problems to maintain program or other important case?","19. During the past month, how would you rate your sleep quality overall?"
2021-03-06 10:46:23.244,Yes,Facebook,Laptop,Broadband (Wi-Fi),Less than 2-year,1-2 per day,1-3 hours,Evening,Less than 500,Few of them,5-10,To make new friends,To stay connected with people,Yes,,No,Not at all,Most of the times,No,Not trying,16.0,Male,,Muslim,Secondary Level,Unemployed including students,No income,Rural Area,With family,51.0,1.4986,Non-smoker,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Not at all,Not at all,,Not at all,Not at all,Not at all,Not at all,Not at all,,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,10.01 PM to 12.00 AM,,Within 5.00 AM,,5-7 hours,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Very good
2021-02-28 23:15:33.593,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),2-5 years,Less than 1 per day,1-3 hours,Night to late night,Less than 500,Most of them,Less than 5,For time pass,Get pleasure from funny posts/ memes,No,No,No,Sometimes,Never,Yes,Trying to reduce the use,24.0,Female,Unmarried,Muslim,Graduate Level,Dentist ,"10,000-40,000 Tk",Urban Area,With family,62.0,,Non-smoker,Never,Never,Sometimes,Never,Never,,Often,Sometimes,Nearly everyday,Several days,Not at all,Nearly everyday,Not at all,Several days,Not at all,Not at all,Not at all,Half days,Half days,,Several days,,Nearly everyday,Several days,12.01 AM to 2.00 AM,Within 15 minutes,7.01 AM to 9.00 AM,7-8 hours,8-10 hours,Not during last month,Not during last month,Less then once a week,Three or more in week,Three or more in week,Less then once a week,Once or twice a week,Once or twice a week,Three or more in week,Not during last month,Not during last month,Not during last month,,Very good
2021-02-28 23:29:03.199,,Facebook,Mobile Phone,Broadband (Wi-Fi),2-5 years,Less than 1 per day,1-3 hours,Night to late night,Less than 500,Most of them,5-10,For time pass,,Yes,No,No,Sometimes,Never,Yes,Trying to reduce the use,24.0,Female,Unmarried,Muslim,Graduate Level,Dentist ,"10,000-40,000 Tk",Urban Area,,62.0,1.651,Non-smoker,Never,Never,Never,Never,Never,Never,Never,Often,Half of days,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Half days,,Several days,Several days,Several days,Nearly everyday,12.01 AM to 2.00 AM,Within 15 minutes,,7-8 hours,,,Not during last month,,Once or twice a week,Three or more in week,Less then once a week,Once or twice a week,Less then once a week,Three or more in week,Not during last month,Not during last month,Not during last month,Less then once a week,Very good
,Yes,Facebook,Mobile Phone,Mobile data,More than 10 years,,Less than 1 hour,Evening,Less than 500,All of them,Less than 5,To stay connected with people,,No,No,No,Sometimes,Never,Yes,Trying to stop the use,29.0,,Unmarried,Muslim,Masters or above,Private job,"10,000-40,000 Tk",,With family,74.0,1.8034,Non-smoker,Never,Never,Never,Never,Never,,Never,Never,Nearly everyday,Half of days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,Not at all,Not at all,Not at all,10.01 PM to 12.00 AM,,7.01 AM to 9.00 AM,7-8 hours,5-7 hours,,Not during last month,,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,,Not during last month,Very good
2021-02-21 17:58:17.226,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,More than 5 per day,3-5 hours,,Less than 500,Most of them,More than 20,To stay connected with people,Updates of current affairs/news,No,,No,Sometimes,Never,No,Not trying,27.0,Male,Married,Muslim,Masters or above,Private job,"10,000-40,000 Tk",Urban Area,With family,,1.6764,,Never,Often,Often,Often,Often,Often,Often,Never,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,Not at all,,Not at all,Not at all,Not at all,,12.01 AM to 2.00 AM,Within 15 minutes,5.01 AM to 7.00 AM,Less than 4 hours,8-10 hours,Not during last month,Less then once a week,Once or twice a week,Less then once a week,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Less then once a week,Not during last month,Not during last month,Not during last month,Very good
,Yes,,Mobile Phone,Mobile data,2-5 years,1-2 per day,1-3 hours,Evening,2000-4000,Many of them,5-10,To stay connected with people,Motivational/ informative contents,No,Yes,Yes,Always,All the times,,Trying to stop the use,20.0,Male,Unmarried,Muslim,Primary level,Daily labor/driver/housemaid,"10,000-40,000 Tk",Rural Area,Without family,66.0,1.7018,Smoker,,Sometimes,Often,Often,Often,Often,Rarely,Rarely,Not at all,Nearly everyday,Nearly everyday,Nearly everyday,Nearly everyday,Nearly everyday,Several days,Several days,Half of days,Several days,Several days,,Nearly everyday,Half days,Half days,Several days,10.01 PM to 12.00 AM,More than 130,,Less than 4 hours,5-7 hours,Once or twice a week,Once or twice a week,Three or more in week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Once or twice a week,Three or more in week,Less then once a week,Less then once a week,Very bad
2021-02-27 09:55:59.006,Yes,Facebook,,Mobile data,2-5 years,1-2 per day,1-3 hours,Evening,Less than 500,All of them,Less than 5,For time pass,Updates of current affairs/news,Yes,No,No,Not at all,All the times,Yes,Not trying,42.0,Male,Married,Hindu,Secondary Level,Self-employed/Entrepreneur/Business,"10,000-40,000 Tk",Rural Area,With family,66.0,1.7018,Smoker,Never,,Never,,Never,Sometimes,Rarely,Never,Several days,Half of days,Several days,,Several days,,Not at all,Not at all,Several days,Half days,Half days,Nearly everyday,Several days,Nearly everyday,Nearly everyday,Several days,10.01 PM to 12.00 AM,16-30,5.01 AM to 7.00 AM,4-6 hours,5-7 hours,Not during last month,Less then once a week,,Once or twice a week,Less then once a week,Not during last month,,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Once or twice a week,Farely good
2021-03-06 13:45:37.290,Yes,Facebook,Mobile Phone,Mobile data,2-5 years,1-2 per day,Less than 1 hour,Morning,500-2000,Many of them,5-10,To make new friends,To stay connected with people,Yes,Yes,No,Not at all,Most of the times,Yes,Not trying,,Male,Unmarried,Muslim,Secondary Level,Unemployed including students,No income,Rural Area,With family,66.0,1.7018,Smoker,Never,Never,Sometimes,Never,,Never,Often,Often,Several days,Not at all,Half of days,,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Half days,Not at all,Not at all,Half days,Not at all,Not at all,10.01 PM to 12.00 AM,16-30,5.01 AM to 7.00 AM,4-6 hours,8-10 hours,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,,,Not during last month,Not during last month,Not during last month,Not during last month,Very good
2021-02-20 13:33:42.835,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,Less than 1 per day,3-5 hours,Frequently at anytime,2000-4000,Most of them,More than 20,To stay connected with people,Updates of people,Yes,No,Yes,Sometimes,Never,Yes,Trying to reduce the use,24.0,Male,Unmarried,Hindu,Graduate Level,Self-employed/Entrepreneur/Business,"10,000-40,000 Tk",Urban Area,Without family,70.0,1.7526,Non-smoker,Rarely,Never,Never,Sometimes,Rarely,Never,Rarely,Often,Nearly everyday,Several days,Several days,Several days,Not at all,Several days,Half of days,Not at all,,Several days,Several days,Not at all,Nearly everyday,Nearly everyday,Not at all,Several days,12.01 AM to 2.00 AM,16-30,5.01 AM to 7.00 AM,4-6 hours,5-7 hours,Less then once a week,Once or twice a week,Not during last month,Not during last month,Less then once a week,Less then once a week,Less then once a week,Not during last month,Not during last month,Less then once a week,Not during last month,Once or twice a week,Three or more in week,Farely good
2021-02-26 17:15:51.226,Yes,Facebook,Mobile Phone,,,More than 5 per day,3-5 hours,Frequently at anytime,500-2000,Few of them,Less than 5,To stay connected with people,Motivational/ informative contents,Yes,,Yes,Not at all,Most of the times,Yes,,25.0,Male,Unmarried,Muslim,Masters or above,Unemployed including students,No income,Urban Area,With family,68.0,1.7271999999999998,Smoker,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,,,Sometimes,Not at all,Half of days,Not at all,Several days,Not at all,Several days,Half of days,Half of days,Not at all,Not at all,Half days,Not at all,Several days,Several days,Half days,Not at all,12.01 AM to 2.00 AM,16-30,After 9.00 AM,7-8 hours,5-7 hours,Once or twice a week,Less then once a week,Less then once a week,Once or twice a week,Less then once a week,Once or twice a week,Not during last month,Less then once a week,Less then once a week,Once or twice a week,Not during last month,Three or more in week,Three or more in week,Very good
2021-02-20 12:47:02.671,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,,More than 5 hours,Frequently at anytime,500-2000,All of them,,To stay connected with people,Updates of current affairs/news,No,No,Yes,Always,Most of the times,Yes,Not trying,26.0,Male,Unmarried,Muslim,Masters or above,,"10,000-40,000 Tk",Urban Area,With family,68.0,1.7271999999999998,Non-smoker,,Never,Never,Never,Never,Never,Never,Never,Several days,Not at all,,Not at all,Several days,Not at all,,Not at all,Not at all,Not at all,Not at all,Not at all,,Not at all,Several days,Not at all,12.01 AM to 2.00 AM,,7.01 AM to 9.00 AM,,5-7 hours,Not during last month,Not during last month,Not during last month,Not during last month,Less then once a week,Less then once a week,Not during last month,Once or twice a week,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Farely good
2021-03-07 00:09:50.640,Yes,,Mobile Phone,,More than 10 years,Less than 1 per day,More than 5 hours,Frequently at anytime,500-2000,Many of them,More than 20,To stay connected with people,Updates of current affairs/news,Yes,No,Yes,Sometimes,Most of the times,,Trying to reduce the use,30.0,Male,Unmarried,Muslim,,,,,With family,68.0,1.7271999999999998,Smoker,Rarely,Rarely,,Never,Rarely,Rarely,,Rarely,Half of days,,Not at all,Several days,Half of days,Half of days,Several days,Half of days,,Half days,Half days,Half days,Half days,Half days,Half days,Half days,10.01 PM to 12.00 AM,Within 15 minutes,7.01 AM to 9.00 AM,7-8 hours,8-10 hours,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,,Not during last month,Not during last month,,Not during last month,Not during last month,Farely bad
,Yes,Facebook,,Broadband (Wi-Fi),2-5 years,Less than 1 per day,1-3 hours,Frequently at anytime,Less than 500,,More than 20,To stay connected with people,To stay connected with people,Yes,No,Yes,Sometimes,Most of the times,No,Not trying,30.0,Female,Married,,Masters or above,Self-employed/Entrepreneur/Business,"10,000-40,000 Tk",Urban Area,With family,,1.524,Non-smoker,Never,,Never,Rarely,Never,Rarely,Sometimes,Sometimes,Not at all,Several days,Several days,Several days,Several days,Not at all,,Not at all,,Not at all,Several days,Several days,Not at all,Not at all,Several days,,,Within 15 minutes,,4-6 hours,5-7 hours,Not during last month,Once or twice a week,Less then once a week,Not during last month,,Once or twice a week,Not during last month,Not during last month,Once or twice a week,,Not during last month,Once or twice a week,Not during last month,Farely good
2021-02-28 00:43:26.420,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,,More than 5 hours,,500-2000,Most of them,More than 20,To stay connected with people,To stay connected with people,Yes,No,Yes,Sometimes,Most of the times,Yes,Trying to reduce the use,23.0,Female,Unmarried,Muslim,Graduate Level,Unemployed including students,,Urban Area,With family,53.0,1.524,Non-smoker,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Several days,Several days,Several days,Several days,Not at all,Half of days,Nearly everyday,,Half of days,,Several days,Several days,Several days,Several days,Not at all,Half days,10.01 PM to 12.00 AM,16-30,7.01 AM to 9.00 AM,7-8 hours,8-10 hours,Once or twice a week,,Once or twice a week,Less then once a week,Less then once a week,Not during last month,Not during last month,Less then once a week,Less then once a week,Not during last month,Not during last month,Less then once a week,Less then once a week,Farely good
2021-03-01 18:37:51.086,Yes,Facebook,Mobile Phone,Mobile data,Less than 2-year,1-2 per day,1-3 hours,Evening,Less than 500,Few of them,Less than 5,For time pass,,Yes,No,No,Not at all,,Yes,Not trying,45.0,Female,Widow,Muslim,Secondary Level,Housewife ,No income,Rural Area,With family,48.0,1.4478,Non-smoker,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Several days,Several days,Half of days,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Half days,Several days,Several days,Several days,Half days,,Not at all,10.01 PM to 12.00 AM,More than 150,5.01 AM to 7.00 AM,4-6 hours,5-7 hours,Not during last month,Less then once a week,,Not during last month,Less then once a week,Less then once a week,Less then once a week,Once or twice a week,Less then once a week,Less then once a week,Less then once a week,Once or twice a week,Less then once a week,Farely good
2021-02-22 12:01:35.450,Yes,Facebook,,Mobile data,5-10 years,More than 5 per day,Less than 1 hour,Evening,Less than 500,Few of them,Less than 5,For time pass,Updates of current affairs/news,Yes,Yes,Yes,Not at all,Never,No,Not trying,1995.0,Female,Unmarried,Muslim,Masters or above,Unemployed including students,,Urban Area,With family,55.0,1.5494,Non-smoker,Never,Never,Never,Never,Never,Never,Never,Never,,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,10.01 PM to 12.00 AM,Within 15 minutes,,7-8 hours,,Not during last month,Not during last month,Not during last month,,Not during last month,Not during last month,Not during last month,,Not during last month,Not during last month,,Not during last month,Not during last month,Very good
,Yes,Facebook,Mobile Phone,Mobile data,More than 10 years,Less than 1 per day,3-5 hours,Frequently at anytime,Less than 500,,More than 20,To stay connected with people,Get pleasure from funny posts/ memes,Yes,,Yes,Sometimes,Most of the times,Yes,Trying to reduce the use,26.0,Female,Unmarried,Muslim,Masters or above,Private job,"10,000-40,000 Tk",Urban Area,With family,55.0,1.5494,Non-smoker,Rarely,,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Several days,Several days,Half of days,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,10.01 PM to 12.00 AM,Within 15 minutes,,7-8 hours,5-7 hours,Once or twice a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,,Less then once a week,Less then once a week,Farely good
2021-02-21 18:31:50.002,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),Less than 2-year,More than 5 per day,1-3 hours,Frequently at anytime,Less than 500,All of them,5-10,To stay connected with people,To stay connected with people,Yes,No,No,Sometimes,Never,,Trying to reduce the use,16.0,Female,Unmarried,Muslim,Secondary Level,Unemployed including students,No income,Urban Area,With family,,1.5494,Non-smoker,Rarely,Often,Never,Never,Often,Never,Never,Often,Half of days,Half of days,Several days,Several days,Not at all,Nearly everyday,Several days,Several days,Nearly everyday,Nearly everyday,Nearly everyday,Nearly everyday,Half days,Not at all,Several days,,10.01 PM to 12.00 AM,Within 15 minutes,7.01 AM to 9.00 AM,7-8 hours,8-10 hours,Once or twice a week,,Not during last month,Less then once a week,Less then once a week,Less then once a week,Three or more in week,Three or more in week,Once or twice a week,Once or twice a week,Not during last month,Once or twice a week,Once or twice a week,Farely bad
2021-02-22 23:15:39.184,Yes,Facebook,,,More than 10 years,Less than 1 per day,3-5 hours,Frequently at anytime,500-2000,,More than 20,To stay connected with people,To stay connected with people,Yes,No,No,Sometimes,Never,Yes,Trying to reduce the use,27.0,,Married,Muslim,Masters or above,,,Urban Area,Without family,55.0,1.5494,Non-smoker,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Nearly everyday,Half of days,Nearly everyday,Half of days,Half of days,Several days,Not at all,Several days,Half of days,Nearly everyday,Half days,Half days,Nearly everyday,Several days,Half days,Half days,10.01 PM to 12.00 AM,31-60,After 9.00 AM,7-8 hours,8-10 hours,Three or more in week,Once or twice a week,Once or twice a week,Not during last month,Not during last month,Less then once a week,Three or more in week,,Not during last month,Three or more in week,Not during last month,Less then once a week,Less then once a week,Farely bad
2021-02-22 10:57:03.055,,Facebook,Mobile Phone,Broadband (Wi-Fi),More than 10 years,1-2 per day,1-3 hours,Frequently at anytime,500-2000,Most of them,10-20,To stay connected with people,Get pleasure from funny posts/ memes,Yes,No,Yes,Sometimes,Most of the times,No,Not trying,26.0,Female,,Muslim,Masters or above,,"Above 70,000 Tk",Urban Area,Without family,57.0,1.5748,Smoker,Sometimes,Sometimes,Never,Never,Never,Sometimes,,Sometimes,Several days,Not at all,Several days,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Several days,,Not at all,Not at all,Not at all,Several days,12.01 AM to 2.00 AM,,7.01 AM to 9.00 AM,7-8 hours,8-10 hours,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Less then once a week,Not during last month,Very good
2021-02-19 19:13:04.762,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,Less than 1 per day,1-3 hours,Frequently at anytime,Less than 500,Most of them,More than 20,To stay connected with people,Updates of current affairs/news,Yes,No,Yes,Not at all,Never,No,,25.0,Female,Married,Muslim,Masters or above,Unemployed including students,No income,Urban Area,With family,57.0,1.5748,Non-smoker,,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Several days,Several days,Not at all,Not at all,Nearly everyday,Several days,Not at all,Not at all,Not at all,Several days,Several days,Several days,Several days,Several days,Half days,,2.01 AM to 5.00 AM,16-30,After 9.00 AM,7-8 hours,8-10 hours,Not during last month,Three or more in week,,Not during last month,Not during last month,Less then once a week,Once or twice a week,,Not during last month,Less then once a week,Not during last month,Less then once a week,Not during last month,Farely good
2021-03-01 10:33:14.037,Yes,WhatsApp,Mobile Phone,Mobile data,Less than 2-year,More than 5 per day,3-5 hours,Evening,2000-4000,Most of them,10-20,To stay connected with people,Updates of current affairs/news,,Yes,Yes,Not at all,Never,Yes,Trying to stop the use,,,Unmarried,Muslim,Secondary Level,Unemployed including students,No income,Rural Area,With family,59.0,1.6001999999999998,Smoker,Never,Never,Never,Never,Never,Never,Never,Sometimes,Nearly everyday,Not at all,Not at all,Not at all,Not at all,Several days,,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Several days,12.01 AM to 2.00 AM,16-30,,4-6 hours,5-7 hours,Less then once a week,Less then once a week,Less then once a week,Less then once a week,,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Once or twice a week,Once or twice a week,,Farely good
,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),,Less than 1 per day,1-3 hours,Frequently at anytime,500-2000,Many of them,10-20,For time pass,Updates of current affairs/news,Yes,No,Yes,Sometimes,Never,No,Not trying,,Female,Unmarried,Hindu,Graduate Level,Unemployed including students,No income,Urban Area,,59.0,1.6001999999999998,Non-smoker,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Often,Not at all,Several days,Several days,Not at all,Not at all,,Not at all,Not at all,Not at all,Several days,Several days,Several days,Not at all,Not at all,Not at all,Several days,2.01 AM to 5.00 AM,Within 15 minutes,After 9.00 AM,7-8 hours,5-7 hours,Less then once a week,Not during last month,Not during last month,Not during last month,Not during last month,Less then once a week,Not during last month,Less then once a week,Not during last month,Not during last month,Not during last month,,,Farely good
2021-02-14 18:44:33.040,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),2-5 years,More than 5 per day,3-5 hours,Frequently at anytime,Less than 500,Most of them,5-10,To stay connected with people,Get pleasure from funny posts/ memes,No,No,Yes,Sometimes,,Yes,Trying to reduce the use,23.0,Female,Unmarried,Muslim,Masters or above,,No income,Urban Area,With family,59.0,1.6001999999999998,Non-smoker,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Several days,Several days,Several days,Several days,Nearly everyday,Several days,Several days,Not at all,Not at all,Several days,Several days,Several days,Several days,,Several days,Not at all,12.01 AM to 2.00 AM,31-60,7.01 AM to 9.00 AM,4-6 hours,8-10 hours,Less then once a week,Not during last month,Not during last month,Not during last month,Not during last month,Once or twice a week,Not during last month,,Not during last month,,,Not during last month,Not during last month,Farely good
,,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,Less than 1 per day,1-3 hours,Night to late night,500-2000,Many of them,More than 20,To stay connected with people,To stay connected with people,Yes,No,No,Sometimes,Most of the times,Yes,Trying to reduce the use,24.0,Male,Unmarried,Hindu,Masters or above,Unemployed including students,,Urban Area,With family,75.0,1.8034,Non-smoker,Sometimes,Never,Never,Sometimes,,Often,Rarely,Never,Not at all,Several days,Several days,Nearly everyday,Several days,Several days,Several days,,Not at all,Not at all,Several days,Several days,Several days,,Several days,Not at all,10.01 PM to 12.00 AM,,7.01 AM to 9.00 AM,4-6 hours,5-7 hours,Three or more in week,Once or twice a week,Three or more in week,Less then once a week,Less then once a week,Less then once a week,Not during last month,Not during last month,Not during last month,Three or more in week,Not during last month,Once or twice a week,Less then once a week,Farely good
2021-03-05 13:43:19.571,Yes,Facebook,Mobile Phone,,2-5 years,3-5 per day,,Frequently at anytime,Less than 500,All of them,Less than 5,For time pass,Updates of current affairs/news,Yes,Yes,Yes,Sometimes,Most of the times,Yes,Trying to reduce the use,16.0,Female,,Muslim,Secondary Level,Unemployed including students,No income,,With family,61.0,1.6256,Non-smoker,Rarely,Rarely,,Sometimes,Sometimes,Sometimes,Often,Often,Several days,Several days,,Several days,Several days,Several days,Several days,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,12.01 AM to 2.00 AM,16-30,,4-6 hours,5-7 hours,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Once or twice a week,,Less then once a week,Not during last month,,Farely good
2021-02-16 21:10:02.950,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,Less than 1 per day,,Frequently at anytime,Less than 500,Few of them,Less than 5,To stay connected with people,Get pleasure from funny posts/ memes,Yes,No,Yes,Sometimes,Never,Yes,Trying to reduce the use,25.0,Female,Unmarried,Muslim,Masters or above,,No income,Urban Area,With family,61.0,1.6256,Non-smoker,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Half of days,Nearly everyday,Not at all,Nearly everyday,Half of days,Not at all,Not at all,Several days,Not at all,Nearly everyday,Nearly everyday,Nearly everyday,,Several days,Several days,Nearly everyday,8.00 PM to 10.00 PM,,7.01 AM to 9.00 AM,7-8 hours,,Less then once a week,Once or twice a week,Three or more in week,Not during last month,Not during last month,Not during last month,Three or more in week,Less then once a week,Not during last month,Three or more in week,Not during last month,Not during last month,,Farely good
2021-02-21 08:54:26.167,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),More than 10 years,Less than 1 per day,3-5 hours,Frequently at anytime,Less than 500,Most of them,Less than 5,To stay connected with people,Get pleasure from funny posts/ memes,Yes,No,,Sometimes,Most of the times,Yes,,26.0,Female,Unmarried,Muslim,Masters or above,Self-employed/Entrepreneur/Business,"10,000-40,000 Tk",Urban Area,With family,63.0,1.651,Non-smoker,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,Several days,Nearly everyday,Several days,,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Several days,Several days,Several days,Not at all,,16-30,7.01 AM to 9.00 AM,Less than 4 hours,8-10 hours,,Once or twice a week,Less then once a week,Less then once a week,Not during last month,Less then once a week,Three or more in week,Once or twice a week,Not during last month,Not during last month,Not during last month,Not during last month,,Farely bad
2021-02-13 19:37:26.613,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,More than 5 per day,Less than 1 hour,,500-2000,,10-20,For time pass,Updates of people,Yes,No,Yes,Sometimes,,Yes,Trying to reduce the use,24.0,Male,Unmarried,Muslim,Graduate Level,Unemployed including students,No income,Rural Area,With family,63.0,1.651,Smoker,Often,Rarely,Sometimes,Often,Sometimes,Often,Often,Sometimes,Nearly everyday,Nearly everyday,Nearly everyday,,Not at all,Not at all,Several days,Several days,,Nearly everyday,Nearly everyday,Nearly everyday,Nearly everyday,Nearly everyday,Nearly everyday,,12.01 AM to 2.00 AM,More than 82,7.01 AM to 9.00 AM,7-8 hours,8-10 hours,Three or more in week,Three or more in week,Not during last month,,Not during last month,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Once or twice a week,Three or more in week,Once or twice a week,Less then once a week,Very bad
